fid;Cultivo;Fecha;Year;mes;dia;DOY;NDVI
29300;CBMZ;01/01/2018;2018;1;1;1;0.1308
3357217;CB;01/01/2018;2018;1;1;1;0.1242
355256;CB;01/01/2018;2018;1;1;1;0.1685
366723;CB;01/01/2018;2018;1;1;1;0.152
3411733;CBMZ;01/01/2018;2018;1;1;1;0.1213
433566;CB;01/01/2018;2018;1;1;1;0.20585
501099;CBMZ;01/01/2018;2018;1;1;1;0.1563
580666;CB;01/01/2018;2018;1;1;1;0.1474
3454775;CBMZ;01/01/2018;2018;1;1;1;0.1505
586878;CBMZ;01/01/2018;2018;1;1;1;0.163
707673;CBMZ;01/01/2018;2018;1;1;1;0.15825
710941;CB;01/01/2018;2018;1;1;1;0.1949
3493461;CB;01/01/2018;2018;1;1;1;0.23375
733566;CB;01/01/2018;2018;1;1;1;NA
747553;CB;01/01/2018;2018;1;1;1;0.1754
766617;CBMZ;01/01/2018;2018;1;1;1;0.1417
771079;CBMZ;01/01/2018;2018;1;1;1;0.2001
3526153;CBMZ;01/01/2018;2018;1;1;1;0.1368
830965;CBMZ;01/01/2018;2018;1;1;1;0.1809
833329;CB;01/01/2018;2018;1;1;1;0.1763
844919;CB;01/01/2018;2018;1;1;1;NA
848110;CB;01/01/2018;2018;1;1;1;0.112
3569975;CBMZ;01/01/2018;2018;1;1;1;0.1462
1006979;CBTFF;01/01/2018;2018;1;1;1;0.1801
1034460;CBMZ;01/01/2018;2018;1;1;1;0.1634
3595775;CBMZ;01/01/2018;2018;1;1;1;0.155
1049256;CB;01/01/2018;2018;1;1;1;0.1706
1066845;CB;01/01/2018;2018;1;1;1;0.1049
3610044;CBMZ;01/01/2018;2018;1;1;1;0.1396
1149047;CB;01/01/2018;2018;1;1;1;0.0889
1190560;CBMZ;01/01/2018;2018;1;1;1;0.1777
3666143;CB;01/01/2018;2018;1;1;1;0.1562
1222397;CB;01/01/2018;2018;1;1;1;0.1496
1222471;CB;01/01/2018;2018;1;1;1;0.08945
1266859;CBMZ;01/01/2018;2018;1;1;1;0.1458
340208;CBMZ;01/01/2018;2018;1;1;1;0.1639
3713081;CB;01/01/2018;2018;1;1;1;0.1377
1352160;CB;01/01/2018;2018;1;1;1;0.1308
3736700;CBMZ;01/01/2018;2018;1;1;1;0.1567
1430877;CB;01/01/2018;2018;1;1;1;0.20025
1459578;CBMZ;01/01/2018;2018;1;1;1;0.1881
1479627;CB;01/01/2018;2018;1;1;1;0.1202
3751873;CBMZ;01/01/2018;2018;1;1;1;0.1653
1518514;CB;01/01/2018;2018;1;1;1;0.1853
1538148;CB;01/01/2018;2018;1;1;1;0.165
1558605;CBMZ;01/01/2018;2018;1;1;1;0.1487
1574561;CB;01/01/2018;2018;1;1;1;0.2093
1603039;CB;01/01/2018;2018;1;1;1;0.1531
1614420;CB;01/01/2018;2018;1;1;1;0.1483
1616629;CBRGP;01/01/2018;2018;1;1;1;0.1665
1662863;CBMZ;01/01/2018;2018;1;1;1;0.1891
1665656;CB;01/01/2018;2018;1;1;1;0.1118
1705323;CBMZ;01/01/2018;2018;1;1;1;0.1714
3863430;CB;01/01/2018;2018;1;1;1;0.1347
3872585;CBMZ;01/01/2018;2018;1;1;1;0.1297
1838894;CB;01/01/2018;2018;1;1;1;0.1831
1849431;CB;01/01/2018;2018;1;1;1;0.12175
1888777;CBTFF;01/01/2018;2018;1;1;1;0.1526
3919553;CB;01/01/2018;2018;1;1;1;0.1303
1926729;CB;01/01/2018;2018;1;1;1;0.0764
1976479;CB;01/01/2018;2018;1;1;1;0.1494
3973500;CB;01/01/2018;2018;1;1;1;0.1147
2092638;CBMZ;01/01/2018;2018;1;1;1;0.1684
2113698;CB;01/01/2018;2018;1;1;1;0.0806
2124529;CB;01/01/2018;2018;1;1;1;0.1333
2152163;CB;01/01/2018;2018;1;1;1;0.1818
340574;CB;01/01/2018;2018;1;1;1;0.1044
2184453;CB;01/01/2018;2018;1;1;1;0.1354
2192413;CB;01/01/2018;2018;1;1;1;0.1349
2231370;CB;01/01/2018;2018;1;1;1;0.08775
2251831;CB;01/01/2018;2018;1;1;1;0.18545
2305957;CBMZ;01/01/2018;2018;1;1;1;0.14955
2306522;CB;01/01/2018;2018;1;1;1;0.1469
2309224;CB;01/01/2018;2018;1;1;1;0.114
2320819;CB;01/01/2018;2018;1;1;1;0.165
4062212;CB;01/01/2018;2018;1;1;1;0.1705
2323683;CBMZ;01/01/2018;2018;1;1;1;0.1634
2386997;CB;01/01/2018;2018;1;1;1;0.1576
2395501;CBMZ;01/01/2018;2018;1;1;1;0.1766
2397787;CB;01/01/2018;2018;1;1;1;0.106
4063153;CB;01/01/2018;2018;1;1;1;0.1559
2464906;CB;01/01/2018;2018;1;1;1;0.1666
2467816;CB;01/01/2018;2018;1;1;1;0.1603
2565939;CBMZ;01/01/2018;2018;1;1;1;0.1765
2578037;CB;01/01/2018;2018;1;1;1;0.1251
2624226;CB;01/01/2018;2018;1;1;1;0.1133
2632052;CB;01/01/2018;2018;1;1;1;0.1547
2634660;CB;01/01/2018;2018;1;1;1;0.0875
2694153;CBMZ;01/01/2018;2018;1;1;1;0.1765
2708049;CBMZ;01/01/2018;2018;1;1;1;0.17065
2716831;CBMZ;01/01/2018;2018;1;1;1;0.1562
2750523;CB;01/01/2018;2018;1;1;1;0.16395
2758300;CBMZ;01/01/2018;2018;1;1;1;0.1933
2787085;CB;01/01/2018;2018;1;1;1;0.1717
2851614;CB;01/01/2018;2018;1;1;1;0.1509
2874477;CBTFF;01/01/2018;2018;1;1;1;NA
2888927;CB;01/01/2018;2018;1;1;1;0.1388
2906515;CB;01/01/2018;2018;1;1;1;0.08585
2941382;CBMZ;01/01/2018;2018;1;1;1;0.1604
2948395;CB;01/01/2018;2018;1;1;1;0.1659
2957899;CB;01/01/2018;2018;1;1;1;0.1887
3002641;CB;01/01/2018;2018;1;1;1;0.1691
3060672;CBMZ;01/01/2018;2018;1;1;1;0.14045
3082225;CB;01/01/2018;2018;1;1;1;0.1474
3143813;CB;01/01/2018;2018;1;1;1;0.08925
3197052;CBMZ;01/01/2018;2018;1;1;1;0.1511
4273646;CBMZ;01/01/2018;2018;1;1;1;0.1413
3197561;CBMZ;01/01/2018;2018;1;1;1;0.17255
3204327;CB;01/01/2018;2018;1;1;1;0.13225
3267712;CBTFF;01/01/2018;2018;1;1;1;0.2347
4286798;CBMZ;01/01/2018;2018;1;1;1;0.1332
3307510;CB;01/01/2018;2018;1;1;1;0.1406
3308859;CBMZ;01/01/2018;2018;1;1;1;0.18045
3454535;CB;01/01/2018;2018;1;1;1;0.0908
3467911;CB;01/01/2018;2018;1;1;1;0.16455
4456367;CBMZ;01/01/2018;2018;1;1;1;0.1227
3555758;CB;01/01/2018;2018;1;1;1;0.1711
